accountsservice 22.08.8-2
  mate-terminal           	 14.37 M - The MATE Terminal Emulator (mate-extra)
  mate-themes             	 77.01 M - Default themes for the MATE desktop (mate)
  mate-user-share         	 10.73 M - User level public file sharing via WebDAV for MATE (mate-extra)
  mate-utils              	 24.50 M - Common MATE utilities for viewing disk usage, logs and fonts, taking screenshots, managing dictionaries and searching files (mate-extra)
  mozo                    	  1.55 M - MATE menu editing tool (mate-extra)
  nano                    	  2.49 M - Pico editor clone with enhancements
  network-manager-applet  	  9.55 M - Applet for managing network connections
  opendoas                	 46.60 K - Run commands as super user or another user
  pacutils                	490.27 K - Helper tools for libalpm
  paru                    	  7.04 M - Feature packed AUR helper
  patch                   	197.75 K - A utility to apply patch files to original sources (base-devel)
 *pipewire-pulse          	474.56 K - Low-latency audio/video router and processor - PulseAudio replacement
  pkgconf                 	161.65 K - Package compiler and linker metadata toolkit (base-devel)
  pluma                   	 34.22 M - A powerful text editor for MATE (mate-extra)
  transmission-gtk        	  3.58 M - Fast, easy, and free BitTorrent client (GTK+ GUI)
  upd72020x-fw            	 44.87 K - Renesas uPD720201 / uPD720202 USB 3.0 chipsets firmware
 *vulkan-intel            	  8.38 M - Intel's Vulkan mesa driver
  wd719x-firmware         	 14.50 K - Driver for Western Digital WD7193, WD7197 and WD7296 SCSI cards
  which                   	 34.38 K - A utility to show the full path of commands (base-devel)
  xorg-server             	  6.96 M - Xorg X server (xorg)
  xorg-xinit              	524.26 K - X.Org initialisation program
Unneeded Packages Installed As Dependencies:
  lhasa 	115.84 K - Free LZH/LHA archive tool
  rustup	  8.40 M - The Rust toolchain installer
Unneeded Packages In A Dependency Cycle:
Installed Packages Not In A Repository:
  aic94xx-firmware	 30.03 K - Adaptec SAS 44300, 48300, 58300 Sequencer Firmware for AIC94xx driver
  librewolf-bin   	342.85 M - Community-maintained fork of Firefox, focused on privacy, security and freedom.
  paru            	  7.04 M - Feature packed AUR helper
  upd72020x-fw    	 44.87 K - Renesas uPD720201 / uPD720202 USB 3.0 chipsets firmware
  wd719x-firmware 	 14.50 K - Driver for Western Digital WD7193, WD7197 and WD7296 SCSI cards
Package Cache Size:
